"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"","","","","","","","","","","","","","","","",""
"1","https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/157","Harshal Patel","PBKS","24","14","14","49.0","477","15/3","19.87","9.73","12.25","0","0",""
"2","https://scores.iplt20.com/ipl/playerimages/Varun%20Chakaravarthy.png?v=1","https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5432","Varun Chakaravarthy","KKR","21","15","14","50.0","402","16/3","19.14","8.04","14.28","0","0","https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1"
"3","https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/1124","Jasprit Bumrah","MI","20","13","13","51.5","336","21/5","16.80","6.48","15.55","0","1","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"4","https://scores.iplt20.com/ipl/playerimages/T%20Natarajan.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3831","T Natarajan","SRH","19","14","14","51.2","465","19/4","24.47","9.05","16.21","1","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"5","https://scores.iplt20.com/ipl/playerimages/Harshit%20Rana.png?v=1","https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20626","Harshit Rana","KKR","19","13","11","42.1","383","24/3","20.15","9.08","13.31","0","0","https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1"
"6","https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/1561","Avesh Khan","RR","19","16","15","54.5","526","27/3","27.68","9.59","17.31","0","0","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"7","https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/4698","Arshdeep Singh","PBKS","19","14","14","50.2","505","29/4","26.57","10.03","15.89","1","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"8","https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png?v=1","https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/177","Andre Russell","KKR","19","15","14","29.2","295","19/3","15.52","10.05","9.26","0","0","https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1"
"9","https://scores.iplt20.com/ipl/playerimages/Pat%20Cummins.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/488","Pat Cummins","SRH","18","16","16","61.0","566","43/3","31.44","9.27","20.33","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
